cycle,state,district,block,nutrient,high,medium,low
2024-25,MADHYA PRADESH,BALAGHAT,LANJI - 3751,Nitrogen,0%,66%,34%
2024-25,MADHYA PRADESH,BALAGHAT,LANJI - 3751,Phosphorus,27%,69%,4%
2024-25,MADHYA PRADESH,BALAGHAT,LANJI - 3751,Potassium,71%,25%,3%
2024-25,MADHYA PRADESH,BALAGHAT,LANJI - 3751,Organic Carbon,66%,23%,11%
2024-25,MADHYA PRADESH,BALAGHAT,LANJI - 3751,Potential Of Hydrogen,4%,0%,96%
