cycle,state,district,block,nutrient,high,medium,low
2025-26,ANDHRA PRADESH,Anakapalli,NARSIPATNAM - 5607,Nitrogen,11%,25%,64%
2025-26,ANDHRA PRADESH,Anakapalli,NARSIPATNAM - 5607,Phosphorus,58%,34%,9%
2025-26,ANDHRA PRADESH,Anakapalli,NARSIPATNAM - 5607,Potassium,65%,31%,4%
2025-26,ANDHRA PRADESH,Anakapalli,NARSIPATNAM - 5607,Organic Carbon,13%,25%,62%
2025-26,ANDHRA PRADESH,Anakapalli,NARSIPATNAM - 5607,Potential Of Hydrogen,3%,0%,97%
