cycle,state,district,block,nutrient,high,medium,low
2025-26,CHHATTISGARH,BALOD,BALOD - 3629,Nitrogen,0%,22%,78%
2025-26,CHHATTISGARH,BALOD,BALOD - 3629,Phosphorus,19%,49%,32%
2025-26,CHHATTISGARH,BALOD,BALOD - 3629,Potassium,74%,24%,2%
2025-26,CHHATTISGARH,BALOD,BALOD - 3629,Organic Carbon,29%,39%,32%
2025-26,CHHATTISGARH,BALOD,BALOD - 3629,Potential Of Hydrogen,0%,12%,88%
