cycle,state,district,block,nutrient,high,medium,low
2023-24,RAJASTHAN,PALI,SOJAT - 759,Phosphorus,52.0,48.0,0.0
2023-24,RAJASTHAN,PALI,SOJAT - 759,Potassium,58.0,42.0,1.0
2023-24,RAJASTHAN,PALI,SOJAT - 759,Organic Carbon,0.0,0.0,100.0
2023-24,RAJASTHAN,PALI,SOJAT - 759,Potential Of Hydrogen,17.0,0.0,83.0
