cycle,state,district,block,nutrient,high,medium,low
2025-26,PUNJAB,LUDHIANA,LUDHIANA-2 - 297,Organic Carbon,0.0,44.0,55.0
2025-26,PUNJAB,LUDHIANA,LUDHIANA-2 - 297,Potential Of Hydrogen,0.0,0.0,100.0
