cycle,state,districts,blocks
2023-24,ANDHRA PRADESH,26,653
2023-24,BIHAR,32,358
2023-24,JAMMU & KASHMIR,20,274
2023-24,GUJARAT,33,247
2023-24,JHARKHAND,24,240
2023-24,HARYANA,22,143
2023-24,ARUNACHAL PRADESH,25,111
2023-24,ASSAM,16,87
2023-24,HIMACHAL PRADESH,12,86
2023-24,KARNATAKA,8,24
2023-24,GOA,2,12
2023-24,ANDAMAN & NICOBAR,3,6
2023-24,LADAKH,2,6
2024-25,ANDHRA PRADESH,26,664
2024-25,BIHAR,38,526
2024-25,MAHARASHTRA,34,346
2024-25,MADHYA PRADESH,54,307
2024-25,JAMMU & KASHMIR,20,277
2024-25,JHARKHAND,24,260
2024-25,GUJARAT,33,242
2024-25,KARNATAKA,31,234
2024-25,ASSAM,34,207
2024-25,CHHATTISGARH,33,143
2024-25,KERALA,14,139
2024-25,ARUNACHAL PRADESH,25,127
2024-25,HARYANA,20,99
2024-25,HIMACHAL PRADESH,12,85
2024-25,MEGHALAYA,12,52
2024-25,NAGALAND,12,51
2024-25,MIZORAM,11,27
2024-25,LADAKH,2,13
2024-25,GOA,2,12
2024-25,ANDAMAN & NICOBAR,3,9
2024-25,MANIPUR,1,4
2025-26,ANDHRA PRADESH,26,635
2025-26,BIHAR,38,533
2025-26,MAHARASHTRA,34,348
2025-26,MADHYA PRADESH,55,313
2025-26,JAMMU & KASHMIR,20,274
2025-26,JHARKHAND,24,246
2025-26,KARNATAKA,31,235
2025-26,GUJARAT,30,211
2025-26,KERALA,14,147
2025-26,CHHATTISGARH,33,144
2025-26,HARYANA,22,100
2025-26,ARUNACHAL PRADESH,23,94
2025-26,ASSAM,20,92
2025-26,HIMACHAL PRADESH,12,84
2025-26,NAGALAND,12,46
2025-26,MEGHALAYA,7,21
2025-26,MIZORAM,7,13
2025-26,GOA,2,11
2025-26,LADAKH,1,10
2025-26,ANDAMAN & NICOBAR,3,9
2025-26,MANIPUR,1,3
