date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2024-02-17,Beetroot,157,Himachal Pradesh,2,Sirmaur,32,1500,2000,1800
2019-03-08,Beetroot,157,Himachal Pradesh,2,Sirmaur,32,900,1000,950
2018-04-05,Beetroot,157,Himachal Pradesh,2,Sirmaur,32,800,1000,900
2015-01-01,Beetroot,157,Himachal Pradesh,2,Sirmaur,32,3000,3000,3000
